,name,start_date
801011,林业II,2005-05-26
801012,农产品加工II,2005-05-26
801013,农业综合II,2005-05-26
801014,饲料II,2005-05-26
801015,渔业II,2005-05-26
801016,种植业II,2005-05-26
801017,畜禽养殖II,2011-09-23
801018,动物保健II,2011-09-23
801021,煤炭开采II,2005-05-26
801022,其他采掘II,2005-05-26
801023,石油开采II,2005-05-26
801024,采掘服务II,2011-09-23
801031,化工新材料II,2005-05-26
801032,化学纤维II,2005-05-26
801033,化学原料II,2005-05-26
801034,化学制品II,2005-05-26
801035,石油化工II,2005-05-26
801036,塑料II,2005-05-27
801037,橡胶II,2005-05-27
801041,钢铁II,2005-05-27
801042,金属制品II,2005-05-27
801051,金属非金属新材料II,2005-05-27
801052,有色金属冶炼II,2005-05-27
801053,黄金II,2014-02-21
801054,稀有金属II,2014-02-21
801055,工业金属II,2014-02-21
801061,建筑材料II,2005-05-27
801062,建筑装饰II,2005-05-27
801071,电气设备II,2005-05-27
801072,通用机械II,2005-05-27
801073,仪器仪表II,2005-05-27
801074,专用设备II,2005-05-27
801075,金属制品II,2008-06-26
801076,运输设备II,2014-02-21
801081,半导体II,2005-05-27
801082,其他电子II,2005-05-27
801083,元件II,2005-05-27
801084,光学光电子II,2005-05-27
801085,电子制造II,2011-09-23
801091,非汽车交运设备II,2005-05-27
801092,汽车服务II,2005-05-27
801093,汽车零部件II,2005-05-27
801094,汽车整车II,2005-05-27
801101,计算机设备II,2005-05-27
801102,通信设备II,2005-05-27
801111,白色家电II,2005-05-27
801112,视听器材II,2005-05-27
801121,食品加工II,2005-05-27
801122,食品制造II,2005-05-27
801123,饮料制造II,2005-05-27
801124,食品加工II,2011-09-23
801131,纺织制造II,2005-05-27
801132,服装家纺II,2005-05-27
801141,包装印刷II,2005-05-27
801142,家用轻工II,2005-05-27
801143,造纸II,2005-05-27
801144,其他轻工制造II,2014-02-21
801151,化学制药II,2005-05-27
801152,生物制品II,2005-05-27
801153,医疗器械II,2005-05-27
801154,医药商业II,2005-05-27
801155,中药II,2005-05-27
801156,医疗服务II,2007-07-04
801161,电力II,2005-05-27
801162,环保工程及服务II,2005-05-27
801163,燃气II,2005-05-27
801164,水务II,2005-05-27
801171,港口II,2005-05-27
801172,公交II,2005-05-27
801173,航空运输II,2005-05-27
801174,机场II,2005-05-27
801175,高速公路II,2005-05-27
801176,航运II,2005-05-27
801177,铁路运输II,2005-05-27
801178,物流II,2005-05-27
801181,房地产开发II,2005-05-27
801182,园区开发II,2005-05-27
801191,多元金融II,2005-05-27
801192,银行II,2005-05-27
801193,证券II,2005-05-27
801194,保险II,2007-01-18
801201,零售II,2005-05-27
801202,贸易II,2005-05-27
801203,一般零售II,2014-02-21
801204,专业零售II,2014-02-21
801205,商业物业经营II,2014-02-21
801211,餐饮II,2005-05-27
801212,景点II,2005-05-27
801213,酒店II,2005-05-27
801214,旅游综合II,2005-05-27
801215,其他休闲服务II,2014-02-21
801221,传媒II,2005-05-27
801222,计算机应用II,2005-05-27
801223,通信运营II,2005-05-27
801224,网络服务II,2005-05-27
801231,综合II,2005-05-27
801711,水泥制造II,2014-02-21
801712,玻璃制造II,2014-02-21
801713,其他建材II,2014-02-21
801721,房屋建设II,2014-02-21
801722,装修装饰II,2014-02-21
801723,基础建设II,2014-02-21
801724,专业工程II,2014-02-21
801725,园林工程II,2014-02-21
801731,电机II,2014-02-21
801732,电气自动化设备II,2014-02-21
801733,电源设备II,2014-02-21
801734,高低压设备II,2014-02-21
801741,航天装备II,2014-02-21
801742,航空装备II,2014-02-21
801743,地面兵装II,2014-02-21
801744,船舶制造II,2014-02-21
801751,营销传播II,2014-02-21
801752,互联网传媒II,2014-02-21
801761,文化传媒II,2014-02-21
801881,其他交运设备II,2014-02-21
